"id_fornecedor","nome","cpf_cnpj","endereco","tipo","produto","obs"
1,"Samuel","00.000.000/0001-00","Agua de Meninos","Frutos do Mar","Peixe","Chave Pix - "
2,"Mercadinho Bahiana (China)","00.000.000/0000-00","Pituaçu","Mercado","Diversos","Chave Pix - "
3,"Panificadora Nery","00.000.000/0000-00","Boca do Rio","Mercado","Massa Pastel","Chave Pix - "
4,"Leo Pescado","00.000.000/0000-00","Av. Jequitaia, Feira de São joaquim","Frutos do Mar","Peixe","Chave Pix - "
6,"Ponto do camarão","00.000.000/0000-00","Agua de Meninos","Frutos do Mar","Camarão","Chave Pix - "
7,"Abinezes","31.022.191/0001-16","Estrada do coco km11 - Camaçari","Sorvete","Sorvete","Pix 71981414952"
9,"Embasa","00.000.000/0000-00","Bahia","Agua e seneamento","Agua","BOLETO"
10,"CRBS SA - Ambev","58.228.356/0083-88","Rua Jose Roberto Ottoni, 737","Bebidas","Cerveja","BOLETO"
11,"Norsa Refrigerantes - Coca-Cola","07.196.033/0001-06","Central II, km06 S/N","Bebidas","Refrigerantes","BOLETO"
12,"ARMAZEM TOP ALTO LTDA","19.064.035/0001-12","NUM s/n","Armazem","Óleo/Leite de Côco","BOLETO"
13,"Marcio Santos Souza","00.000.000/0001-00","Itapuã - Feira","Feirante","Caranguejo","Chave Pix -"
14,"Dodo Caranguejo/Lambreta","00.000.000/0001-00","Itapuã - Feira","Feirante","Caranguejo","Chave Pix -"
15,"Jorge Caranguejo/Lambreta","00.000.000/0001-00","Itapuã - Feira","Feirante","Caranguejo","Chave Pix -"
16,"HNK BEBIDAS LTDA","02.864.417/0001-28","Cachoeira do Macacu","Bebidas","Cerveja","BOLETO"
17,"PRF DISTRIBUIDORA DE CARNE","49.878.854/0001-64","Mata Escura","Varejista","Carne","BOLETO"
18,"CASA DAS POLPAS","40.474.696/0001-02","R Carlos Mariguella,926, São Marcos","Frios","Polpas","BOLETO"
19,"VILA PESCADO COMERCIO DE FRUTOS DO MAR","25.108.777/0001-03","Cia Sul, 732, Simões Filho","Frutos do Mar","Camarão","BOLETO"
20,"TRIGAL","08.596.156/0001-99","ROD BR324 - Valéria","Produtos Alimentos","Leite Coco/Óleo/Azeite","BOLETO"
21,"COPA ENERGIA - GAS","03.237.583/0001-67","ROD BA KM04 lote 03 São Francisco do Conde","Gas","Gas","BOLETO"
22,"Nilton - Siri","00.000.000/0001-00","Valença","Feirante","Siri","Chave Pix -"
23,"Julival - Carne","00.000.000/0001-00","Pau Ferro","Açougue","Carne","Chave Pix -"
24,"Carlos Alberto Valente Braga","00.000.000/0001-00","Pau Ferro","Abara","Abara","Chave Pix -"
5,"Deposito Tropical","00.000.000/0000-00","Boca do Rio","Bebidas","Bebidas","Chave Pix - "
8,"EXCELER","14.118.010/0001-30","Caji - Lauro de Freitas","Congelados","Salmão","BOLETO"
26,"CLEANSERV","52.510.456/0001-03","Av. Rui Barbosa, 239 - Sala 102 -Simões Filho","Limpeza","Higiene","BOLETO"
25,"Pescador - Riomar","00.000.000/0001-00","Pituba","Pescador","Mexilhão","Chave Pix - "
27,"Maria - Elise","00.000.000/0001-00","Itapuã - Feira","Caranguejo","Caranguejo/Lambreta","Chave Pix - "
